sentence_id,translation_tmg,relevant_sentences,translation_en,domain,sentence_length,sentence_type,Tense,polarity
COM_P3_D3E_S1_15754,गोर निस डिपार्टमेन्टला फ्राक फ्राक डा कोठाजुगु मुला।,सात वटा डिपार्टमेन्टका अलग अलग कक्षा कोठाहरू छन्।,There are seven separate classrooms for each department.,D3E,8,medium,Non-Past,Affirmative
COM_P2_D3E_S3_4812,चुरि ताबा हलुका एन्टी ब्याक्टेरियल फेब्रिकला ङ्यान्दि जोर्नी वा काङला दिला बोरि दबाब महसुस आतामुला।,यसमा भएको हलुका एन्टी ब्याक्टेरियल फेब्रिकका कारण जोर्नी वा खुट्टाको तल्लो भागमा दबाब महसुस हुँदैन।,The lightweight antibacterial fabric means there is no pressure on the joints or lower legs.,D3E,15,medium,Non-Past,Negative
P3_D1A_S0_B1_861,गिक ङिसरेलिच्छा नोला लेदो स्होसि दोङ्तोबा मुला।,एक हप्तापछि लसुनको लेदो बनाएर मिसाउनु पर्छ।,"After a week, make a garlic paste and mix it.",D1A,7,short,Non-Past,Affirmative
COM_D2H_S3_2608,तोःबा आन्सार अस्पताल डिग्यान दाछोकसे ग्यार्जा न्हिसे ५० टाङ्गा काप्पारि खाम्सेला थेसे पाङ्जि,आवश्यकताअनुसार अस्पताल व्यवस्थापन समितिले दुई सय ५० रूपैयाँ थप गर्न सक्ने उनले बताए।,He said that the Hospital Management Committee can add Rs. two hundred 50 as per the requirement.,D2H,13,medium,Past,Affirmative
COM_P2_D3E_S3_4910,चु एआईदा तोङ्जा गिक ३१७ रेम तोङ्जा ६ ग्यार्जा ४४२ नाम्युङला तथ्याङ्कफिरि प्रशिक्षित लाबा मुबा।,यस एआईलाई एक हजार ३१७ पटक ६ हजार ४४२ मुसाको तथ्याङ्कबारे प्रशिक्षित गरिएको थियो।,This AI was trained one thousand 317 times on data from 6 thousand 442 mice.,D3E,14,medium,Past,Affirmative
D1A_S0_B2_3039,नोबा ग्लारि ग्वा गाइना मिन्बा ताबासे जीविकोपार्जन काङाल तासि छारिब्योन फिह्युल निबा तिःबा वडाह्रोमिसे पाङ्जि।,उच्च भू–भागमा गहुँ ढिलो पाक्ने भएकाले जीविकोपार्जन कठिन भई युवा विदेश जान थालेको वडासदस्यले बताए।,"Ward members said that since wheat ripens slowly in the highlands, it is difficult to earn a living, and young people have started going abroad.",D1A,15,medium,Past,Affirmative
COM_D3E_S1_S2_5430,विवादला ङ्यान्दि निबा म्हेनिङ १६ गते बोर्डला मोक्कोन पदाधिकारीसे सामूहिक राजीनामा पिन्माहेन्से प्रवेश परीक्षा स्थगन ताबा मुबा।,विवादका कारण गत असोज १६ गते बोर्डका सबै पदाधिकारीले सामूहिक राजीनामा दिएपछि प्रवेश परीक्षा स्थगन भएको थियो।,The entrance examination was postponed after all the board officials resigned en masse on Asoj 16 due to a dispute.,D3E,17,long,Past,Affirmative
COM_D5G_S4_3858,फिह्युल मामिला खेडोब प्रतिष्ठानग्याम दात्ते तेःबा छ्योइ हिन्ना चु।,परराष्ट्र मामिला अध्ययन प्रतिष्ठानबाट हालै छापिएको पुस्तक हो यो।,This is a book recently published by the Institute of Foreign Affairs Studies.,D5G,9,medium,Past,Affirmative
COM_D2H_S1_S2_3434,दिमग्रेन प्रयोगरि आखामा म्रिङ्मादा क्योङह्रावारि सुत्केरी साप्तो किन्बारि काक्ता ताबा ल्हुइथाङचौकीला अनमी जयन्ती शाहीसे पाङ्जि।,भवन प्रयोगमा नआउँदा महिलालाई सुरक्षित सुत्केरी सेवा लिन समस्या भएको स्वास्थ्यचौकीकी अनमी जयन्ती शाहीले बताइन्।,Anami Jayanti Shahi of the health post said that women are having trouble accessing safe childbirth services because the building is not in use.,D2H,15,medium,Past,Affirmative
P3_D1A_S0_B2_1243,जति सैद्धान्तिक काठुइ तासि छार निष्कर्ष तेःजि ओत्ते परिपक्व ताला।,जति सैद्धान्तिक बहस भएर नयाँ निष्कर्ष निकाल्यो त्यति परिपक्व हुन्छ।,"The more theoretical debate and new conclusions are drawn, the more mature it becomes.",D1A,10,medium,Non-Past,Affirmative
COM_P2_D3E_S1_3855,युनिक्याम्पस ग्लोबलला प्रबन्ध काठाक्पासे तिनि छार शाखाला ठोङ्सेङ लाबा हिन्ना।,युनिक्याम्पस ग्लोबलका प्रबन्ध निर्देशकले आज नयाँ शाखाको उद्घाटन गरेका हुन्।,The Managing Director of Unicampus Global inaugurated the new branch today.,D3E,10,medium,Non-Past,Affirmative
P3_D5G_S2_B2_866,म्हेन्दो थेन पोवाकादे सुबारि म्हान्मुला।,फूल र बिरुवाहरू रोप्न चाहन्छन्।,They want to plant flowers and plants.,D5G,5,short,Non-Past,Affirmative
COM_D2H_S3_2413,लाङ्बोनोइला जीवाणु कार्ग्या गिक बिमा च्याङ्ना जनसङ्ख्यारि म्राङ्साम नोइ निवारण ताबा तेन्मुला।,हात्तीपाइलेको जीवाणु एक प्रतिशतभन्दा कम जनसङ्ख्यामा देखिएमा रोग निवारण भएको मानिन्छ।,The disease is considered eradicated when the elephantiasis bacteria are found in less than one percent of the population.,D2H,11,medium,Non-Past,Affirmative
COM_D5G_S3_297,"थे पाङ्मुला, विद्रोही चेत ङाला प्रवृत्ति हिन्ना।","उनी भन्छन्, विद्रोही चेत मेरो प्रवृत्ति हो।","He says, ""A rebellious spirit is my instinct.""",D5G,7,short,Non-Past,Affirmative
P4_D1A_S1_B2_225,टिकटकला नुर नोन रेन्बा मुला।,टिकटकको विषय पनि उठाउनुभएको छ।,He has also raised the issue of TikTok.,D1A,5,short,Non-Past,Affirmative
COM_P3_D3E_S3_4814,सिटिभिटीरि ल्हानान गेताङ मुला।,सिटिइभिटीमा धेरै कार्यक्रम छन्।,There are many programs at CTEVT.,D3E,4,short,Non-Past,Affirmative
COM_D2H_S1_S2_6191,यादव नेतृत्वला थेमेसे बोकिन्बा चिकित्सक डा. सुशील कायस्थसे गम्भीर नाछालला बिजासे क्योन्बालिच्छा छार ल्हुइ याङ्बाला पाङ्जि।,यादव नेतृत्वको टिममा सहभागी चिकित्सक डा. सुशील कायस्थले गम्भीर अवस्थाका बालकले उपचारपछि नयाँ जीवन पाएका बताए।,"Dr. Sushil Kayastha, a doctor who was part of the Yadav-led team, said that the child, who was in critical condition, has gained a new lease of life after treatment.",D2H,16,long,Past,Affirmative
COM_P2_D3E_S1_5377,सुङरे प्राधिकरणला ग्रेन्पो गेकि अधिकृतसे गोरगिक गेताङला गुङरि फिच्चा दिमग्रेन लोप्खाङदा हस्तान्तरण लाजि।,शुक्रवार प्राधिकरणका प्रमुख कार्यकारी अधिकृतले एक कार्यक्रमका बीच उक्त भवन विद्यालयलाई हस्तान्तरण गरे।,"On Friday, the Chief Executive Officer of the Authority handed over the building to the school during a program.",D3E,13,medium,Past,Affirmative
COM_P2_D5G_S1_8134,सिसिजिन्बा ल्हुइदा देवाच्यान दोनालाबा बिसि तिका बुद्धिसे नुहाब लाबारि ब्राजि।,मरिसकेको देहलाई स्वर्ग पुर्‍याउने भनी के बुद्धिले नुहाउन हिँड्यो।,"Did the wise man go to bathe, thinking that he would take his dead body to heaven?",D5G,9,medium,Past,Affirmative
COM_P2_D2H_S1_7738,खाइमाखाइमा स्वतः आनुवांशिक गुणरि पोबा खामा एन चु नोइ म्राङ्बारि खाम्ला।,कहिलेकाहीँ स्वतः आनुवांशिक गुणमा परिवर्तन आउँदा पनि यो रोग देखा पर्न सक्छ।,Sometimes this disease can also occur due to spontaneous changes in genetic traits.,D2H,12,medium,Non-Past,Affirmative
P3_D1A_S0_B1_3487,खयर थुमरि ग्युन्हाबाला सम्भावना मुबा पाङ्बान वडाचोहो तिलिजासे लिच्छालादुइ तिलाइ छारिब्योन चु नामरि थुइबारि तिःबा ग्रानाङ पिन्जि।,खयर क्षेत्रमा भेडापालनको सम्भावना रहेको बताउँदै वडाध्यक्ष तिलिजाले पछिल्लो समय केही युवा यस पेसामा आबद्ध हुन थालेको जानकारी दिए।,"Stating that there is potential for sheep farming in the Khayar area, Ward Chair Tilija informed that some youth have started joining this profession recently.",D1A,19,long,Past,Affirmative
COM_P2_D2H_S2_6758,सुर्तीजन्य पदार्थरि अन्तःशुल्क उन्ब्रिबाला स्रुगरि आल्हेना सरकार ह्युलम्हिला ल्हुइथाङरि संवेदनशील आताबा पुष्टि तामुला।,सुर्तीजन्य पदार्थमा अन्त:शुल्क उल्लेखनीय रूपमा नबढाए सरकार नागरिकको स्वास्थ्यमा संवेदनशील नभएको पुष्टि हुन्छ।,Failure to significantly increase excise duties on tobacco products confirms that the government is not sensitive to the health of its citizens.,D2H,13,medium,Non-Past,Affirmative
COM_P2_D3E_S1_4206,छाप्रारि डोमा साङ्गुलला डान्बा खासिचिबा तासाइनोन छार दिमग्रेन म्राङ्सि साङ्गुल नोन म्लेबा थेला पाङ्बा मुबा।,छाप्रामा पढ्दा भूकम्पको सम्झना आइरहने भएपनि नयाँ भवन देखेर भूकम्प नै बिर्सिएको उनको भनाइ थियो।,"He said that although he kept remembering the earthquake while studying in the hut, he forgot about it when he saw the new building.",D3E,15,medium,Past,Affirmative
COM_D4C_S1_S2_5028,अधिकारीसे पार्करि स्होबा ल्होलो सेमचेनला छापमाफिरि ग्रानाङ पिन्जि।,अधिकारीले पार्कमा बनाइएका विभिन्न जनावरका प्रतिमाबारे जानकारी दिए।,The official provided information about the statues of various animals made in the park.,D4C,8,medium,Past,Affirmative
COM_D5G_S3_4755,अपरेसन लाबान हिन्ना बिसाम दान्देदा एडभान्सला स्रुगरि बुम ङ्हा टाङ्गा काउन्टररि डिपोजिट लास्ह्युगो बिसि डाक्टर कोठा फिर्ग्याप थोन्मुला।,अपरेसन गर्ने नै हो भने अहिलेलाई एडभान्सको रूपमा ५ लाख रूपैयाँ काउन्टरमा डिपोजिट गर्नुहोला भनेर डाक्टर रूम बाहिर निस्कन्छ।,The doctor leaves the room and asks you to deposit 5 lakh rupees at the counter as an advance if you want to have the operation.,D5G,19,long,Non-Past,Affirmative
COM_P2_D3E_S3_615,फेसबुकरि मेटाभर्सला योजनादा बेनानबिमा ल्हाना प्राथमिकतारि ताङ्छ्यारि थान्बा मुला।,फेसबुकले मेटाभर्सको योजनालाई सबैभन्दा प्राथमिकताको सूचीमा राखेको छ।,Facebook has placed its metaverse plans on its top priority list.,D3E,8,medium,Non-Past,Affirmative
COM_P2_D2H_S2_2115,सलायन नोन आरेबा थेला पाङ्बा मुला।,सलायन पनि नभएको उहाँको भनाइ छ।,He says that there is no solution.,D2H,6,short,Non-Past,Affirmative
COM_P2_D4C_S1_B1_3706,चुरि भौतिक पूर्वाधारला आडुप मुला।,यहाँ भौतिक पूर्वाधारको अभाव छ।,There is a lack of physical infrastructure here.,D4C,5,short,Non-Past,Affirmative
COM_D3E_S3_3593,खाङ्बा लारि सहज स्रुगरि डोलोपलोप्डेन सुनिश्चित लाबारि साविकलान बेने १ गतेग्याम ग्युइसेरकि सत्र चुःतोबा सुझाव छ्यामला ह्रिबा स्यो पुइबा ग्रेन्पो मल्लला पाङ्बा मुला।,जाडो महिनामा सहज रूपमा पठनपाठन सुनिश्चित गर्न साविककै फागुन १ गतेबाट शैक्षिक सत्र सुरु गर्नुपर्ने सुझाव सहितको माग पत्र पठाइएको प्रमुख मल्लको भनाइ छ।,Chief Malla says that a demand letter has been sent with a suggestion to start the academic session from Falgun 1 to ensure smooth teaching and learning during the winter months.,D3E,24,very long,Non-Past,Affirmative
COM_P2_D2H_S2_3770,फ्रान्सेली वैज्ञानिकसे आएचयू भेरिएन्टला नोत्पाफिरि प्रमाणित ताबारि तिगाइ साता लाग्दिबा पाङ्बा मुला।,फ्रान्सेली वैज्ञानिकले आएचयू भेरिएन्टको असरबारे प्रमाणित हुन केही साता लाग्ने बताएका छन्।,French scientists have said it will take a few weeks to prove the effects of the IHU variant.,D2H,12,medium,Non-Past,Affirmative
COM_P2_D2H_S1_8410,प्रतिष्ठानला काठाक्पा डा. राजीव शाहला आन्सार २०६८ रि स्हेङ्बा प्रतिष्ठानरि गोर्लाङ नोइला क्योन्बा डायलायसिस साप्तो पिन्बा लाबा आरेबा।,प्रतिष्ठानका निर्देशक डा. राजीव शाहका अनुसार २०६८ मा स्थापना भएको प्रतिष्ठानमा मिर्गौला रोगीको उपचार डायलायसिस सेवा दिने गरेको थिएन।,"According to the institute's director, Dr. Rajiv Shah, the institute, which was established in 2068, did not provide dialysis services for kidney patients.",D2H,19,long,Past,Negative
COM_P2_D5G_S1_89,थे निबाव्हाना ङानिसे ध्यान आपिन्नि।,उनी गएतिर हामीले ध्यान दिएनौं।,We didn't notice him leaving.,D5G,5,short,Past,Negative
D1A_S0_B2_1318,नेपालरि उत्पादन ताबा टुङरागुङ ९४ कार्ग्या ग्यागारह्युलरि निकासी तामुला।,नेपालमा उत्पादन हुने अदुवामध्ये ९४ प्रतिशत भारतमा निकासी हुन्छ।,94 percent of the ginger produced in Nepal is exported to India.,D1A,9,medium,Non-Past,Affirmative
D1A_S0_B3_1960,सानाम  ओसेम सेमचेनज्याबि फेल्गेबाब्लोन डा. बेदुराम भुसालसे बुम च्युइ तोङ्जा ३० हेक्टर सानामग्योग्य सा पोन मुबा पाङ्बा मुला।,कृषि तथा पशुपन्क्षी विकासमन्त्री डा बेदुराम भुसालले १० लाख ३० हजार हेक्टर कृषियोग्य जमिन बाँझो रहेको बताएका छन्।,Agriculture and Animal Development Minister Dr. Beduram Bhusal stated that 10 lakh 30 thousand hectares of agricultural land remain fallow.,D1A,18,long,Non-Past,Affirmative
P4_D1A_S1_B2_2864,"दारेम दोःसि लाबारि ग्लाबरिन दोःतोबा ह्राङ्बा ताजि, थेसेलामा गोरगिक कोरली थेन बहर जोडी थान्बा हिन्ना।","अब फेरि गर्न गोरुमै फर्कन पर्नेजस्तो भयो, त्यसैले एउटा कोरली र बहर जोडी राखेको हुँ।","Now I feel like I have to go back to bulls, so I've kept a pair of heifers and a bull.",D1A,15,medium,Non-Past,Affirmative
COM_D2H_S4_4017,केकेबा चाबास्हेकादे एन युरिक एसिडला काक्तारि ल्हाना चाबा लाबा ख्युलपिन्बा तामुला।,गुलियो खानेकुराहरू पनि युरिक एसिडको समस्यामा धेरै सेवन गर्नु नोक्सानदायक हुन्छ।,Consuming too much sugary foods is also harmful for uric acid problems.,D2H,11,medium,Non-Past,Affirmative
COM_P2_D5G_S2_2316,चु नितान्त छार तासाइ जैविक व्हाइरिम ङ्योलोक मुबा।,यो नितान्त नौलौ तर जैवनिक सङ्गीत आन्दोलन थियो।,This was a completely new but organic musical movement.,D5G,8,medium,Past,Affirmative
D1A_S0_B1_4749,स्याउ उत्पादनला लागिरि ङोसेबा चु फार्मरि स्याउ रोबारि ख्लामाहेन्से दान्दे ल्होलो प्रजातिला रोरो सास्हिङ फेल्बारि तिःबा मुला।,स्याउ उत्पादनका लागि चिनिएको यो फार्ममा स्याउ फल्न छोडेपछि अहिले विभिन्न प्रजातिका फलफूलको खेती विस्तार गर्न थालिएको छ।,"This farm, known for its apple production, has now expanded to grow various types of fruits after ceasing to grow apples.",D1A,18,long,Non-Past,Affirmative
COM_D3E_S5_450,इन्टरनेटरि ल्हानारि डाटाला स्थानान्तरण छाददा ब्यान्डविथरि मापन लामुला।,इन्टरनेटमा अधिकतम डाटाको स्थानान्तरण दरलाई ब्यान्डविथमा मापन गरिन्छ।,The maximum data transfer rate on the Internet is measured in bandwidth.,D3E,8,medium,Non-Past,Affirmative
COM_P2_D3E_S1_6444,रोसे परार्मश गेताङसे लोप्खेनजुगुसे दाक्पा छ्यो थेन आप्ता किन्बारि देबा तासेला पाङ्स्ह्युजि।,उहाँले परार्मश कार्यक्रमले विद्यार्थीहरूले सही दिशा र निर्णय लिन सजिलो हुने बताउनुभयो।,He said that the counseling program will help students take the right direction and decisions.,D3E,12,medium,Past,Affirmative
COM_D3E_S3_2407,आधुनिक युगरि दुइसापेक्ष अध्यापन लापुङ्बारि स्हाङ्बा चु कलेज लोप्खेनकादेला लागि उचित दोखाङ दोःबारि मतन्हि आरे।,आधुनिक युगमा समयसापेक्ष अध्यापन गराउन सफल यो कलेज विद्यार्थीहरूको लागि उचित गन्तव्य बन्नेमा दुईमत छैन।,"There is no doubt that this college, which has succeeded in providing timely teaching in the modern era, will become a suitable destination for students.",D3E,15,medium,Non-Past,Negative
COM_D2H_S4_3989,कपिलवस्तु फेल्बा फिच्चा हैजा नियन्त्रणला लागिरि सरकारसे डब्ल्युएचओतेन ओरल कलेरा भ्याक्सिन पिन्बा मुबा।,कपिलवस्तु फैलिएको उक्त हैजा नियन्त्रणको लागि सरकारले डब्ल्युएचओसँग ओरल कलेरा भ्याक्सिन दिएको थियो।,"The government, in collaboration with the WHO, provided oral cholera vaccines to control the cholera outbreak in Kapilvastu.",D2H,13,medium,Past,Affirmative
COM_D5G_S6_1535,दान्दे  मि चन्द्र नेपाल दोबा ला च्युइसे ङ्हा ताजिन्जि।,अहिले त चन्द्र नेपाल फिरेको १५ महिना भइसक्यो।,It has now been 15 months since Chandra returned to Nepal.,D5G,8,medium,Past,Affirmative
COM_P2_D5G_S4_1731,थेनिकादे गुङ्ला कात्तेराङ लोप्खाङला व्हाइरिम लोप्खेन नोन हिन्ना।,उनीहरूमध्ये कतिपय स्कूलका सङ्गीत शिक्षक पनि हुन्।,Some of them are also school music teachers.,D5G,7,short,Non-Past,Affirmative
COM_D3E_S5_668,थेनिकादेला प्रस्तावदा नास्टसे स्विकार लाजि।,उनीहरूको प्रस्तावलाई नास्टले स्वकार गर्‍यो।,NAST accepted their proposal.,D3E,5,short,Past,Affirmative
D4S_S3_1019,घटस्थापनाहेन्से नोन ढोलक ह्राप्मुबा।,घटस्थापनादेखि नै ढोलक बज्थ्यो।,The drum was played from the very beginning.,D4C,4,short,Past,Affirmative
D4S_S3_3570,"कोशीचामला ङामरि दोबा मुबा, सडकला लच्कारि थेबिमा ङाच्छा गुडतिसिचिबा कारसे तिक्खेरि ब्रेक रोप्चि।","कोशीपुलको नजिक पुगेका थिए, सडकको लच्कामा उनीभन्दा अगाडि गुडिरहेको कारले एक्कासि ब्रेक हान्यो।","As he approached the Koshi bridge, the car ahead of him suddenly slammed on the brakes on a bend in the road.",D4C,13,medium,Past,Affirmative
COM_P2_D2H_S2_6621,च्याङनारि मानखाङ सिम अफिसर थेन मेन्दो गि डेन्टल चिकित्सक आवश्यक मुला,कम्तीमा तीन मेडिकल अफिसर र एकजना डेन्टल चिकित्सक आवश्यक छ।,At least three medical officers and one dental practitioner are required.,D2H,10,medium,Non-Past,Affirmative
P3_D1A_S0_B2_230,पालिकारि डाप उत्पादन ल्हेःबा मुला।,पालिकामा साग उत्पादन बढेको छ।,Vegetable production has increased in the municipality.,D1A,5,short,Non-Past,Affirmative
D1A_S0_B2_980,विन्दुसे ङा दिङ ङ्हाच्छा १० कट्ठाग्याम तिबा लाबा म्हेन्दोसास्हिङ दान्दे न्हि बिघा क्षेत्रफलरि फेल्बा मुला।,विन्दुले पाँच वर्षअघि १० कट्ठाबाट सुरु गरेको फूलखेती हाल दुई बिघा क्षेत्रफलमा फैलिएको छ।,Bindu started flower farming with 10 acres five years ago and has now spread over an area of ​​two bighas.,D1A,14,medium,Non-Past,Affirmative
COM_D4C_S1_S2_2579,टीका थान्मा टिका थान्पिन्बा व्यक्ति न्हुप थेन टिका ताबा व्यक्ति स्यार दोःतोदोबा धर्मकि मान्यता मुला।,टीका लगाउदाँ टिका लगाइदिने व्यक्ति पश्चिम र टिका लगाउने व्यक्ति पूर्व फर्कनुपर्ने धार्मिक मान्यता छ।,"There is a religious belief that when administering the vaccine, the person administering the vaccine should face west and the person receiving the vaccine should face east.",D4C,15,medium,Non-Past,Affirmative
COM_D4C_S1_S2_6419,अन्नपूर्ण ज्योमोगाङला जोरि दोबा ङाच्छाला म्रिङ्कोलादा अन्नपूर्ण नाम्सापालिका थेन नेपाल पत्रकार ग्रेनघेदुङ म्याग्दीसे बेनीरि डेन लाबा मुला।,अन्नपूर्ण हिमालको चुचुरोमा पुग्ने पहिलो महिलालाई अन्नपूर्ण गाउँपालिका र नेपाल पत्रकार महासङ्घ म्याग्दीले बेनीमा सम्मान गरेको हो।,Annapurna Rural Municipality and the Federation of Nepali Journalists (FNJ) Myagdi honored the first woman to reach the peak of Annapurna Mountain in Beni.,D4C,17,long,Non-Past,Affirmative
COM_D3E_S1_S2_284,थेला अडान लिच्छा जनमतला गेबोनसे विश्वविद्यालयरि तालाबन्दी लाबा मुबा।,उनको अडानपछि जनमतका कार्यकर्ताले विश्वविद्यालयमा तालाबन्दी गरेका थिए।,"Following his stance, Janmat activists locked down the university.",D3E,8,medium,Past,Affirmative
COM_P2_D2H_S4_3181,आयुर्वेद चिकित्सक पुनेश्वर केशरीला आन्सार चु ल्हुइदा हल्का सोबाला विधि हिन्ना,आयुर्वेद चिकित्सक पुनेश्वर केशरीका अनुसार यो शरीरलाई हल्का बनाउने विधि हो।,"According to Ayurvedic doctor Puneshwar Keshari, this is a method to lighten the body.",D2H,11,medium,Non-Past,Affirmative
